Nom commun utilisé par le COSEPAC,Population selon le COSEPAC,Statut selon le COSEPAC,Date de la dernière évaluation par le COSEPAC,Nom scientifique,Nom commun inscrit à la Loi,Population inscrite à la Loi,Statut à l’annexe 1,Date du dernier changement de statut,Annexe de la LEP,Date ajoutée,Aire de répartition,Groupe taxinomique,En cours d’examen aux fins de,Décision du GEC
Bécassin roux hendersoni/griseus,,Menacée,2024-11-28,Limnodromus griseus hendersoni/griseus,Bécassin roux hendersoni/griseus,,Aucun statut,,Aucune annexe,,"Alberta, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest",Oiseaux,Un ajout,En attente
Belette à longue queue des Prairies,,Non en péril,1993-04-01,Mustela frenata longicauda,,,Aucun statut,,Aucune annexe,,"Alberta, Manitoba, Saskatchewan",Mammifères terrestres,,
Béluga,Population de l'est de la baie d'Hudson,Menacée,2020-11-04,Delphinapterus leucas,Béluga,Population de l'est de la baie d'Hudson,Aucun statut,,Aucune annexe,,"Nunavut, Océan Arctique, Océan Atlantique, Québec, Terre-Neuve-et-Labrador",Mammifères marins,Un ajout,En attente
Béluga,Population de l'est de la mer de Beaufort,Non en péril,2004-05-01,Delphinapterus leucas,,,Aucun statut,,Aucune annexe,,"Océan Arctique, Territoires-du-Nord-Ouest",Mammifères marins,,
Béluga,Population de l'est du Haut-Arctique et de la baie de Baffin,Préoccupante,2020-11-04,Delphinapterus leucas,Béluga,Population de l'est du Haut-Arctique et de la baie de Baffin,Aucun statut,,Aucune annexe,,"Nunavut, Océan Arctique",Mammifères marins,Un ajout,En attente
Béluga,Population de l'estuaire du Saint-Laurent,En voie de disparition,2014-11-28,Delphinapterus leucas,Béluga,Population de l'estuaire du Saint-Laurent,En voie de disparition,2017-04-13,Annexe 1,2005-07-14,"Océan Atlantique, Québec",Mammifères marins,,Promouvoir: Menacée à en voie de disparition
Béluga,Population de l'ouest de la baie d'Hudson,Non en péril,2020-11-04,Delphinapterus leucas,,,Aucun statut,,Aucune annexe,,"Manitoba, Nunavut, Océan Arctique, Océan Atlantique, Ontario, Québec, Terre-Neuve-et-Labrador",Mammifères marins,,
Béluga,"Population de l'ouest de la baie d'Hudson, désignation de 2004",Non active,2020-11-04,Delphinapterus leucas,Béluga,Population de l'ouest de la baie d'Hudson,Aucun statut,2006-08-15,Aucune annexe,,"Manitoba, Nunavut, Océan Arctique, Océan Atlantique, Ontario",Mammifères marins,,Décision reportée - consultations supplémentaires requises
Béluga,"Population de l'ouest de la baie d'Hudson, désignation initiale",Non active,2004-05-01,Delphinapterus leucas,,,Aucun statut,,Aucune annexe,,"Manitoba, Nunavut, Océan Arctique, Océan Atlantique, Ontario",Mammifères marins,,
Béluga,Population de la baie Cumberland,En voie de disparition,2020-11-04,Delphinapterus leucas,Béluga,Population de la baie Cumberland,Menacée,,Annexe 1,2017-04-13,"Nunavut, Océan Arctique",Mammifères marins,Changement de statut,En attente
Béluga,Population de la baie d'Ungava,En voie de disparition,2020-11-04,Delphinapterus leucas,Béluga,Population de la baie d'Ungava,Aucun statut,,Aucune annexe,,"Océan Arctique, Océan Atlantique, Québec",Mammifères marins,Un ajout,En attente
Béluga,Population de la baie James,Non en péril,2020-11-04,Delphinapterus leucas,,,Aucun statut,,Aucune annexe,,"Nunavut, Ontario, Québec",Mammifères marins,,
Béluga,Population du Sud-Est de l'île de Baffin et de la baie Cumberland,Non active,2004-05-01,Delphinapterus leucas,Béluga,Population du Sud-Est de l'île de Baffin et de la baie Cumberland,,,,,"Nunavut, Océan Arctique",Mammifères marins,,
Benoîte de Peck,,En voie de disparition,2010-04-25,Geum peckii,Benoîte de Peck,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Nouvelle-Écosse,Plantes vasculaires,,Ajout à la liste
Bison des bois,,Préoccupante,2013-11-01,Bison bison athabascae,Bison des bois,,Menacée,,Annexe 1,2003-06-05,"Alberta, Colombie-Britannique, Manitoba, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,Changement de statut,En attente
Bison des prairies,,Menacée,2013-11-01,Bison bison bison,Bison des prairies,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Saskatchewan",Mammifères terrestres,Un ajout,En attente
Blaireau d'Amérique,,Non active,2000-05-01,Taxidea taxus,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Manitoba, Ontario, Saskatchewan",Mammifères terrestres,,
Blaireau d'Amérique de la sous-espèce jacksoni,,En voie de disparition,2012-11-25,Taxidea taxus jacksoni,Blaireau d'Amérique de la sous-espèce jacksoni,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Mammifères terrestres,,Ajout à la liste
Blaireau d'Amérique de la sous-espèce jeffersonii,,Non active,2012-11-25,Taxidea taxus jeffersonii,Blaireau d'Amérique de la sous-espèce jeffersonii,,Aucun statut,2018-05-30,Aucune annexe,2003-06-05,Colombie-Britannique,Mammifères terrestres,,Retirer - Réaffectation ES
Blaireau d'Amérique de la sous-espèce jeffersonii,Population de l'Est,En voie de disparition,2012-11-25,Taxidea taxus jeffersonii,Blaireau d'Amérique de la sous-espèce jeffersonii,Population de l'Est,En voie de disparition,,Annexe 1,2003-06-05,Colombie-Britannique,Mammifères terrestres,,
Blaireau d'Amérique de la sous-espèce jeffersonii,Population de l'Ouest,En voie de disparition,2012-11-25,Taxidea taxus jeffersonii,Blaireau d'Amérique de la sous-espèce jeffersonii,Population de l'Ouest,En voie de disparition,,Annexe 1,2003-06-05,Colombie-Britannique,Mammifères terrestres,,
Blaireau d'Amérique de la sous-espèce taxus,,Préoccupante,2012-11-25,Taxidea taxus taxus,Blaireau d'Amérique de la sous-espèce taxus,,Préoccupante,2018-02-02,Annexe 1,2018-02-02,"Alberta, Manitoba, Ontario, Saskatchewan",Mammifères terrestres,,Ajout à la liste
Bleu insulaire,,En voie de disparition,2022-12-03,Icaricia saepiolus insulanus,Bleu insulaire,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Arthropodes,,Ajout à la liste
Bleu mélissa,,Disparue du pays,2019-05-03,Plebejus samuelis,Bleu mélissa,,Disparue du pays,2003-06-05,Annexe 1,2003-06-05,Ontario,Arthropodes,,Ajout à la liste
Boa caoutchouc du Nord,,Préoccupante,2016-04-29,Charina bottae,Boa caoutchouc du Nord,,Préoccupante,2005-01-12,Annexe 1,2005-01-12,Colombie-Britannique,Reptiles,,Ajout à la liste
Bocaccio,,En voie de disparition,2013-11-01,Sebastes paucispinis,Bocaccio,,Aucun statut,,Aucune annexe,,Océan Pacifique,Poissons marins,Un ajout,En attente
Bouche coupante,,Non en péril,2003-05-01,Acrocheilus alutaceus,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Poissons d'eau douce,,
Bouleau flexible,,En voie de disparition,2006-04-29,Betula lenta,Bouleau flexible,,En voie de disparition,2007-12-13,Annexe 1,2007-12-13,Ontario,Plantes vasculaires,,Ajout à la liste
Bourdon à tache rousse,,En voie de disparition,2022-12-03,Bombus affinis,Bourdon à tache rousse,,En voie de disparition,2012-06-20,Annexe 1,2012-06-20,"Nouveau-Brunswick, Ontario, Québec",Arthropodes,,Ajout à la liste
Bourdon américain,,Préoccupante,2018-11-01,Bombus pensylvanicus,Bourdon américain,,Préoccupante,2023-02-03,Annexe 1,2023-02-03,"Ontario, Québec",Arthropodes,,Ajout à la liste
Bourdon de l'Ouest de la sous-espèce mckayi,,Préoccupante,2014-05-02,Bombus occidentalis mckayi,Bourdon de l'Ouest de la sous-espèce mckayi,,Préoccupante,2023-12-08,Annexe 1,2023-12-08,"Colombie-Britannique, Territoires-du-Nord-Ouest, Yukon",Arthropodes,,Ajout à la liste
Bourdon de l'Ouest de la sous-espèce occidentalis,,Menacée,2014-05-02,Bombus occidentalis occidentalis,Bourdon de l'Ouest de la sous-espèce occidentalis,,Menacée,2023-12-08,Annexe 1,2023-12-08,"Alberta, Colombie-Britannique, Saskatchewan",Arthropodes,,Ajout à la liste
Bourdon de Suckley,,Menacée,2019-11-29,Bombus suckleyi,Bourdon de Suckley,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Arthropodes,Un ajout,En attente
Bourdon terricole,,Préoccupante,2015-05-01,Bombus terricola,Bourdon terricole,,Préoccupante,2018-05-30,Annexe 1,2018-05-30,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Arthropodes,,Ajout à la liste
Bouton voûté,,En voie de disparition,2024-05-09,Discus patulus,Bouton voûté,,Aucun statut,,Aucune annexe,,Ontario,Mollusques,Un ajout,En attente
Braya de Fernald,,En voie de disparition,2012-11-25,Braya fernaldii,Braya de Fernald,,En voie de disparition,2018-02-02,Annexe 1,2003-06-05,Terre-Neuve-et-Labrador,Plantes vasculaires,,Promouvoir: Menacée à en voie de disparition
Braya de Long,,En voie de disparition,2011-05-06,Braya longii,Braya de Long,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Terre-Neuve-et-Labrador,Plantes vasculaires,,Ajout à la liste
Braya poilu,,En voie de disparition,2013-05-03,Braya pilosa,Braya poilu,,En voie de disparition,2018-02-02,Annexe 1,2018-02-02,Territoires-du-Nord-Ouest,Plantes vasculaires,,Ajout à la liste
Brickellie à grandes fleurs,,Non en péril,1996-04-01,Brickellia grandiflora,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique",Plantes vasculaires,,
Brochet d'Amérique,,Non en péril,1998-04-01,Esox americanus americanus,,,Aucun statut,,Aucune annexe,,Québec,Poissons d'eau douce,,
Brochet maillé,,Non en péril,1997-04-01,Esox niger,,,Aucun statut,,Aucune annexe,,"Nouveau-Brunswick, Nouvelle-Écosse, Québec",Poissons d'eau douce,,
Brochet vermiculé,,Préoccupante,2014-11-28,Esox americanus vermiculatus,Brochet vermiculé,,Préoccupante,2006-08-15,Annexe 1,2006-08-15,"Ontario, Québec",Poissons d'eau douce,,Ajout à la liste
Brosme,,En voie de disparition,2012-11-25,Brosme brosme,Brosme,,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,Un ajout,En attente
Dorure de Röll,,En voie de disparition,2025-05-08,Brotherella roellii,Brotherelle de Roell,,En voie de disparition,2018-05-30,Annexe 1,2018-05-30,Colombie-Britannique,Mousses,,Ajout à la liste
Bruant à face noire,,Préoccupante,2017-04-28,Zonotrichia querula,Bruant à face noire,,Préoccupante,2023-02-03,Annexe 1,2023-02-03,"Alberta, Manitoba, Nunavut, Ontario, Saskatchewan, Territoires-du-Nord-Ouest",Oiseaux,,Ajout à la liste
Bruant de Baird,,Préoccupante,2012-05-04,Ammodramus bairdii,Bruant de Baird,,Préoccupante,2017-02-03,Annexe 1,2017-02-03,"Alberta, Manitoba, Saskatchewan",Oiseaux,,Ajout à la liste
Bruant de Henslow,,En voie de disparition,2011-05-06,Ammodramus henslowii,Bruant de Henslow,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,"Ontario, Québec",Oiseaux,,Ajout à la liste
Bruant de Nelson,,Non en péril,1998-04-01,Ammodramus nelsoni,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec, Saskatchewan",Oiseaux,,
Bruant des prés de la sous-espèce princeps,,Préoccupante,2023-05-05,Passerculus sandwichensis princeps,Bruant des prés de la sous-espèce princeps,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,Nouvelle-Écosse,Oiseaux,,Ajout à la liste
Bruant noir et blanc,,Menacée,2017-04-28,Calamospiza melanocorys,Bruant noir et blanc,,Menacée,2019-05-22,Annexe 1,2019-05-22,"Alberta, Manitoba, Saskatchewan",Oiseaux,,Ajout à la liste
Bruant sauterelle de la sous-espèce de l’Est,,Préoccupante,2013-11-01,Ammodramus savannarum pratensis,Bruant sauterelle de la sous-espèce de l’Est,,Préoccupante,2017-11-02,Annexe 1,2017-11-02,"Ontario, Québec",Oiseaux,,Ajout à la liste
Bruant vespéral de la sous-espèce affinis,,En voie de disparition,2018-04-27,Pooecetes gramineus affinis,Bruant vespéral de la sous-espèce affinis,,En voie de disparition,2007-12-13,Annexe 1,2007-12-13,Colombie-Britannique,Oiseaux,,Ajout à la liste
Bryum de Porsild,,Menacée,2017-11-01,Haplodontium macrocarpum,Bryum de Porsild,,Menacée,2011-02-04,Annexe 1,2011-02-04,"Alberta, Colombie-Britannique, Nunavut, Terre-Neuve-et-Labrador",Mousses,,Ajout à la liste
Buchloé faux-dactyle,,Préoccupante,2011-11-25,Bouteloua dactyloides,Buchloé faux-dactyle,,Préoccupante,2017-02-03,Annexe 1,2003-06-05,"Manitoba, Saskatchewan",Plantes vasculaires,,Rétrograder: Menacée à préoccupante
Buchnéra d'Amérique,,En voie de disparition,2011-11-25,Buchnera americana,Buchnéra d'Amérique,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Ajout à la liste
Buffalo à grande bouche,,Non active,2008-04-25,Ictiobus cyprinellus,Buffalo à grande bouche,,,,Aucune annexe,,"Manitoba, Ontario, Saskatchewan",Poissons d'eau douce,,
Buffalo à grande bouche,Populations de la rivière Saskatchewan et du fleuve Nelson,Préoccupante,2009-04-26,Ictiobus cyprinellus,Buffalo à grande bouche,Populations de la rivière Saskatchewan et du fleuve Nelson,Préoccupante,2011-06-23,Annexe 1,2011-06-23,"Manitoba, Saskatchewan",Poissons d'eau douce,,Ajout à la liste
Buffalo à grande bouche,Populations des Grands Lacs et du haut Saint-Laurent,Non en péril,2008-04-25,Ictiobus cyprinellus,,,Aucun statut,,Aucune annexe,,Ontario,Poissons d'eau douce,,
Buffalo noir,,Données insuffisantes,2007-04-22,Ictiobus niger,Buffalo noir,,,,,,Ontario,Poissons d'eau douce,,
Busard Saint-Martin,,Non en péril,1993-04-01,Circus cyaneus,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,
Buse à épaulettes,,Non en péril,2006-04-29,Buteo lineatus,Buse à épaulettes,,,,,,"Nouveau-Brunswick, Ontario, Québec",Oiseaux,,
Buse à queue rousse,,Non en péril,1995-04-01,Buteo jamaicensis,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,
Buse pattue,,Non en péril,1995-04-01,Buteo lagopus,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Manitoba, Nunavut, Ontario, Québec, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,
Buse rouilleuse,,Préoccupante,2021-05-05,Buteo regalis,Buse rouilleuse,,Menacée,,Annexe 1,2010-02-23,"Alberta, Manitoba, Saskatchewan",Oiseaux,Changement de statut,En attente
Cachalot macrocéphale,,Non en péril,1996-04-01,Physeter macrocephalus,,,Aucun statut,,Aucune annexe,,"Océan Atlantique, Océan Pacifique",Mammifères marins,,
Cachalot nain,,Données insuffisantes,1997-04-01,Kogia simus,,,Aucun statut,,Aucune annexe,,Océan Pacifique,Mammifères marins,,
Cachalot pygmée,,Non en péril,1994-04-01,Kogia breviceps,,,Aucun statut,,Aucune annexe,,"Océan Atlantique, Océan Pacifique",Mammifères marins,,
Calochorte de Lyall,,Préoccupante,2011-05-06,Calochortus lyallii,Calochorte de Lyall,,Préoccupante,2017-02-03,Annexe 1,2003-06-05,Colombie-Britannique,Plantes vasculaires,,Rétrograder: Menacée à préoccupante
Camassie faux-scille,,Menacée,2002-05-01,Camassia scilloides,Camassie faux-scille,,Menacée,2005-01-12,Annexe 1,2005-01-12,Ontario,Plantes vasculaires,,Ajout à la liste
Campagnol des armoises,,Données insuffisantes,1996-04-01,Lemmiscus curtatus,,,Aucun statut,,Aucune annexe,,"Alberta, Saskatchewan",Mammifères terrestres,,
Campagnol sylvestre,,Préoccupante,2010-11-26,Microtus pinetorum,Campagnol sylvestre,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,"Ontario, Québec",Mammifères terrestres,,Ajout à la liste
Carcajou,,Préoccupante,2014-05-02,Gulo gulo,Carcajou,,Préoccupante,2018-05-30,Annexe 1,2005-01-12,"Alberta, Colombie-Britannique, Manitoba, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,,Ajout à la liste
Carcajou,désignation initiale,Non active,1989-04-01,Gulo gulo,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Manitoba, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,,
Carcajou,Population de l'Est,Non active,2014-05-02,Gulo gulo,Carcajou,Population de l'Est,Aucun statut,2018-05-29,Aucune annexe,2005-01-12,"Québec, Terre-Neuve-et-Labrador",Mammifères terrestres,,Retirer - Réaffectation ES
Carcajou,Population de l'Ouest,Non active,2014-05-02,Gulo gulo,Carcajou,Population de l'Ouest,Aucun statut,2005-01-12,Aucune annexe,,"Alberta, Colombie-Britannique, Manitoba, Nunavut, Ontario, Saskatchewan, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,,Décision reportée - consultations supplémentaires requises
Carex des genévriers,,En voie de disparition,2000-05-01,Carex juniperorum,Carex des genévriers,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Ajout à la liste
Carex des sables,,Préoccupante,2016-04-29,Carex sabulosa,Carex des sables,,Préoccupante,2019-02-25,Annexe 1,2006-08-15,Yukon,Plantes vasculaires,,Rétrograder: Menacée à préoccupante
Carex du Nebraska,,Non en péril,1995-04-01,Carex nebrascensis,,,Aucun statut,,Aucune annexe,,Alberta,Plantes vasculaires,,
Carex faux-lupulina,,En voie de disparition,2011-11-25,Carex lupuliformis,Carex faux-lupulina,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,"Ontario, Québec",Plantes vasculaires,,Ajout à la liste
Carex tumulicole,,Préoccupante,2022-12-03,Carex tumulicola,Carex tumulicole,,En voie de disparition,,Annexe 1,2010-02-23,Colombie-Britannique,Plantes vasculaires,Changement de statut,En attente
Caribou de la sous-espèce dawsoni,,Disparue,2000-05-01,Rangifer tarandus dawsoni,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Mammifères terrestres,,
Caribou,Population Dolphin-et-Union,En voie de disparition,2017-11-01,Rangifer tarandus,Caribou de la toundra,Population Dolphin-et-Union,Préoccupante,,Annexe 1,2011-02-04,"Nunavut, Territoires-du-Nord-Ouest",Mammifères terrestres,Changement de statut,En attente
Caribou de Peary,,Menacée,2015-11-26,Rangifer tarandus pearyi,Caribou de Peary,,Menacée,2023-02-03,Annexe 1,2011-02-04,"Nunavut, Territoires-du-Nord-Ouest",Mammifères terrestres,,Rétrograder: En voie de disparition à menacée
Caribou de Peary,désignation initiale,Non active,1991-04-01,Rangifer tarandus pearyi,,,Aucun statut,,Aucune annexe,,"Nunavut, Territoires-du-Nord-Ouest",Mammifères terrestres,,
Caribou de Peary,Population de l'île Banks,Non active,2004-05-01,Rangifer tarandus pearyi,Caribou de Peary,Population de l'île Banks,,,,,Territoires-du-Nord-Ouest,Mammifères terrestres,,
Caribou de Peary,Population du Bas-Arctique,Non active,2004-05-01,Rangifer tarandus pearyi,Caribou de Peary,Population du Bas-Arctique,,,,,"Nunavut, Territoires-du-Nord-Ouest",Mammifères terrestres,,
Caribou de Peary,Population du Haut-Arctique,Non active,2004-05-01,Rangifer tarandus pearyi,Caribou de Peary,Population du Haut-Arctique,,,,,"Nunavut, Territoires-du-Nord-Ouest",Mammifères terrestres,,
Caribou des bois,Population de l'Ouest,Non active,2000-05-01,Rangifer tarandus caribou,Caribou des bois,Population de l'Ouest,,,Aucune annexe,,"Alberta, Colombie-Britannique, Manitoba, Ontario, Saskatchewan, Territoires-du-Nord-Ouest",Mammifères terrestres,,
Caribou des bois,Population des montagnes du Nord,Non active,2014-05-02,Rangifer tarandus caribou,Caribou des bois,Population des montagnes du Nord,Préoccupante,2005-01-12,Annexe 1,2005-01-12,"Colombie-Britannique, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,,Ajout à la liste
Caribou des bois,Population des montagnes du Sud,Non active,2014-05-02,Rangifer tarandus caribou,Caribou des bois,Population des montagnes du Sud,Menacée,2003-06-05,Annexe 1,2003-06-05,"Alberta, Colombie-Britannique",Mammifères terrestres,,Ajout à la liste
Caribou des bois,Population du Labrador - Ungava,Non active,2000-05-01,Rangifer tarandus caribou,,,Aucun statut,,Aucune annexe,,"Québec, Terre-Neuve-et-Labrador",Mammifères terrestres,,
Caribou,Population boréale,Menacée,2014-11-28,Rangifer tarandus,Caribou,Population boréale,Menacée,2003-06-05,Annexe 1,2003-06-05,"Alberta, Colombie-Britannique, Manitoba, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,,Ajout à la liste
Caribou,Population de la Gaspésie-Atlantique,En voie de disparition,2014-11-28,Rangifer tarandus,Caribou,Population de la Gaspésie-Atlantique,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Québec,Mammifères terrestres,,Ajout à la liste
Caribou,Population de la toundra,Menacée,2016-11-27,Rangifer tarandus,Caribou,Population de la toundra,Aucun statut,,Aucune annexe,,"Alberta, Manitoba, Nunavut, Saskatchewan, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,Un ajout,En attente
Caribou,Population de Terre-Neuve,Préoccupante,2014-11-28,Rangifer tarandus,Caribou,Population de Terre-Neuve,Préoccupante,2021-08-12,Annexe 1,2021-08-12,Terre-Neuve-et-Labrador,Mammifères terrestres,,Ajout à la liste
Caribou,Population des montagnes du Centre,En voie de disparition,2014-05-02,Rangifer tarandus,Caribou,Population des montagnes du Centre,Aucun statut,2022-02-03,Aucune annexe,,"Alberta, Colombie-Britannique",Mammifères terrestres,,Renvoyer
Caribou,Population des montagnes du Nord,Préoccupante,2014-05-02,Rangifer tarandus,Caribou,Population des montagnes du Nord,Aucun statut,2022-02-03,Aucune annexe,,"Colombie-Britannique, Territoires-du-Nord-Ouest, Yukon",Mammifères terrestres,,Renvoyer
